clueGiverID,wordpair,Level,clueFinal,budget,behavioral_clue_list,len_cluelist_behavioral,len_cluelist_union,union_common,len_union_common,finalclue_index_union,len_cluelist_intersection,intersection_common,len_intersection_common,finalclue_index_intersection
454955,bowl-sun,Medium,acai,budget=2,"['brunch', 'yard game', 'bright', 'acai']",4,184,['bright'],1,-1,0,[],0,-1
454955,bowl-sun,Medium,acai,budget=4,"['brunch', 'yard game', 'bright', 'acai']",4,1669,['bright'],1,-1,5,[],0,-1
454955,bowl-sun,Medium,acai,budget=8,"['brunch', 'yard game', 'bright', 'acai']",4,3739,"['brunch', 'bright']",2,-1,33,['bright'],1,-1
454955,bowl-sun,Medium,acai,budget=16,"['brunch', 'yard game', 'bright', 'acai']",4,5827,"['brunch', 'bright']",2,-1,89,['bright'],1,-1
454955,bowl-sun,Medium,acai,budget=32,"['brunch', 'yard game', 'bright', 'acai']",4,7796,"['brunch', 'bright']",2,-1,251,['bright'],1,-1
454955,bowl-sun,Medium,acai,budget=64,"['brunch', 'yard game', 'bright', 'acai']",4,9448,"['brunch', 'bright']",2,-1,614,['bright'],1,-1
454955,bowl-sun,Medium,acai,budget=128,"['brunch', 'yard game', 'bright', 'acai']",4,10751,"['brunch', 'bright']",2,-1,1238,['bright'],1,-1
454955,bowl-sun,Medium,acai,budget=256,"['brunch', 'yard game', 'bright', 'acai']",4,11538,"['brunch', 'bright']",2,-1,2258,['bright'],1,-1
454955,bowl-sun,Medium,acai,budget=512,"['brunch', 'yard game', 'bright', 'acai']",4,11895,"['brunch', 'bright']",2,-1,3724,['bright'],1,-1
454955,cave-knight,Hard,mysterious,budget=2,"['dark', 'dragon', 'unknown']",3,162,"['dragon', 'dark']",2,-1,1,['dark'],1,-1
454955,cave-knight,Hard,mysterious,budget=4,"['dark', 'dragon', 'unknown']",3,1795,"['unknown', 'dragon', 'dark']",3,285,7,['dark'],1,-1
454955,cave-knight,Hard,mysterious,budget=8,"['dark', 'dragon', 'unknown']",3,3861,"['unknown', 'dragon', 'dark']",3,484,27,['dark'],1,-1
454955,cave-knight,Hard,mysterious,budget=16,"['dark', 'dragon', 'unknown']",3,5909,"['unknown', 'dragon', 'dark']",3,652,102,['dark'],1,-1
454955,cave-knight,Hard,mysterious,budget=32,"['dark', 'dragon', 'unknown']",3,7934,"['unknown', 'dragon', 'dark']",3,967,260,['dark'],1,-1
454955,cave-knight,Hard,mysterious,budget=64,"['dark', 'dragon', 'unknown']",3,9571,"['unknown', 'dragon', 'dark']",3,1078,624,['dark'],1,-1
454955,cave-knight,Hard,mysterious,budget=128,"['dark', 'dragon', 'unknown']",3,10816,"['dragon', 'unknown', 'dark']",3,1499,1257,"['dragon', 'dark']",2,-1
454955,cave-knight,Hard,mysterious,budget=256,"['dark', 'dragon', 'unknown']",3,11546,"['dragon', 'unknown', 'dark']",3,1856,2301,"['dragon', 'unknown', 'dark']",3,1083
454955,cave-knight,Hard,mysterious,budget=512,"['dark', 'dragon', 'unknown']",3,11911,"['dragon', 'unknown', 'dark']",3,2124,3736,"['dragon', 'unknown', 'dark']",3,2080
454955,glow-quick,Medium,firefly,budget=2,"['candle', 'firefly', 'stick']",3,183,"['firefly', 'candle', 'stick']",3,36,1,[],0,-1
454955,glow-quick,Medium,firefly,budget=4,"['candle', 'firefly', 'stick']",3,1659,"['firefly', 'candle', 'stick']",3,67,7,[],0,-1
454955,glow-quick,Medium,firefly,budget=8,"['candle', 'firefly', 'stick']",3,3664,"['firefly', 'candle', 'stick']",3,180,26,[],0,-1
454955,glow-quick,Medium,firefly,budget=16,"['candle', 'firefly', 'stick']",3,5844,"['firefly', 'candle', 'stick']",3,463,91,[],0,-1
454955,glow-quick,Medium,firefly,budget=32,"['candle', 'firefly', 'stick']",3,7832,"['firefly', 'candle', 'stick']",3,1050,257,[],0,-1
454955,glow-quick,Medium,firefly,budget=64,"['candle', 'firefly', 'stick']",3,9584,"['firefly', 'candle', 'stick']",3,2028,617,['stick'],1,-1
454955,glow-quick,Medium,firefly,budget=128,"['candle', 'firefly', 'stick']",3,10764,"['firefly', 'candle', 'stick']",3,3104,1250,"['candle', 'stick']",2,-1
454955,glow-quick,Medium,firefly,budget=256,"['candle', 'firefly', 'stick']",3,11530,"['firefly', 'candle', 'stick']",3,4795,2273,"['candle', 'stick']",2,-1
454955,glow-quick,Medium,firefly,budget=512,"['candle', 'firefly', 'stick']",3,11918,"['firefly', 'candle', 'stick']",3,5638,3728,"['candle', 'stick']",2,-1
454955,gold-silver,Easy,jewelry,budget=2,"['jewelry', 'metal', 'expensive']",3,152,"['jewelry', 'expensive', 'metal']",3,2,5,"['jewelry', 'metal']",2,3
454955,gold-silver,Easy,jewelry,budget=4,"['jewelry', 'metal', 'expensive']",3,1519,"['jewelry', 'expensive', 'metal']",3,4,16,"['jewelry', 'metal']",2,4
454955,gold-silver,Easy,jewelry,budget=8,"['jewelry', 'metal', 'expensive']",3,3676,"['jewelry', 'expensive', 'metal']",3,4,30,"['jewelry', 'metal']",2,4
454955,gold-silver,Easy,jewelry,budget=16,"['jewelry', 'metal', 'expensive']",3,5815,"['jewelry', 'expensive', 'metal']",3,4,84,"['jewelry', 'metal']",2,4
454955,gold-silver,Easy,jewelry,budget=32,"['jewelry', 'metal', 'expensive']",3,7867,"['jewelry', 'expensive', 'metal']",3,12,252,"['jewelry', 'metal']",2,25
454955,gold-silver,Easy,jewelry,budget=64,"['jewelry', 'metal', 'expensive']",3,9573,"['jewelry', 'expensive', 'metal']",3,58,636,"['jewelry', 'metal']",2,74
454955,gold-silver,Easy,jewelry,budget=128,"['jewelry', 'metal', 'expensive']",3,10757,"['jewelry', 'expensive', 'metal']",3,131,1246,"['jewelry', 'expensive', 'metal']",3,171
454955,gold-silver,Easy,jewelry,budget=256,"['jewelry', 'metal', 'expensive']",3,11502,"['jewelry', 'expensive', 'metal']",3,305,2246,"['jewelry', 'expensive', 'metal']",3,337
454955,gold-silver,Easy,jewelry,budget=512,"['jewelry', 'metal', 'expensive']",3,11913,"['jewelry', 'expensive', 'metal']",3,512,3701,"['jewelry', 'expensive', 'metal']",3,484
454955,oak-tree,Easy,forest,budget=2,"['bark', 'forest', 'wood']",3,154,"['forest', 'wood', 'bark']",3,7,7,"['forest', 'wood']",2,5
454955,oak-tree,Easy,forest,budget=4,"['bark', 'forest', 'wood']",3,1427,"['forest', 'wood', 'bark']",3,6,23,"['forest', 'wood']",2,5
454955,oak-tree,Easy,forest,budget=8,"['bark', 'forest', 'wood']",3,3488,"['forest', 'wood', 'bark']",3,6,45,"['forest', 'wood']",2,9
454955,oak-tree,Easy,forest,budget=16,"['bark', 'forest', 'wood']",3,5634,"['forest', 'wood', 'bark']",3,6,98,"['forest', 'wood']",2,20
454955,oak-tree,Easy,forest,budget=32,"['bark', 'forest', 'wood']",3,7799,"['forest', 'wood', 'bark']",3,30,244,"['forest', 'wood']",2,28
454955,oak-tree,Easy,forest,budget=64,"['bark', 'forest', 'wood']",3,9579,"['forest', 'wood', 'bark']",3,74,629,"['forest', 'wood', 'bark']",3,74
454955,oak-tree,Easy,forest,budget=128,"['bark', 'forest', 'wood']",3,10796,"['forest', 'wood', 'bark']",3,111,1252,"['forest', 'wood', 'bark']",3,130
454955,oak-tree,Easy,forest,budget=256,"['bark', 'forest', 'wood']",3,11552,"['forest', 'wood', 'bark']",3,195,2257,"['forest', 'wood', 'bark']",3,158
454955,oak-tree,Easy,forest,budget=512,"['bark', 'forest', 'wood']",3,11893,"['forest', 'wood', 'bark']",3,243,3735,"['forest', 'wood', 'bark']",3,206
455383,ankle-travel,Hard,runner,budget=2,"['run', 'dance', 'body']",3,189,"['body', 'run']",2,-1,0,[],0,-1
455383,ankle-travel,Hard,runner,budget=4,"['run', 'dance', 'body']",3,1754,"['body', 'dance', 'run']",3,1532,1,[],0,-1
455383,ankle-travel,Hard,runner,budget=8,"['run', 'dance', 'body']",3,3777,"['body', 'dance', 'run']",3,1028,23,[],0,-1
455383,ankle-travel,Hard,runner,budget=16,"['run', 'dance', 'body']",3,5960,"['body', 'dance', 'run']",3,1644,90,['dance'],1,-1
455383,ankle-travel,Hard,runner,budget=32,"['run', 'dance', 'body']",3,7901,"['body', 'dance', 'run']",3,2406,264,"['body', 'dance']",2,-1
455383,ankle-travel,Hard,runner,budget=64,"['run', 'dance', 'body']",3,9546,"['body', 'dance', 'run']",3,2668,646,"['body', 'dance', 'run']",3,-1
455383,ankle-travel,Hard,runner,budget=128,"['run', 'dance', 'body']",3,10755,"['body', 'dance', 'run']",3,2951,1258,"['body', 'dance', 'run']",3,-1
455383,ankle-travel,Hard,runner,budget=256,"['run', 'dance', 'body']",3,11488,"['body', 'dance', 'run']",3,3073,2259,"['body', 'dance', 'run']",3,1511
455383,ankle-travel,Hard,runner,budget=512,"['run', 'dance', 'body']",3,11877,"['body', 'dance', 'run']",3,2833,3688,"['body', 'dance', 'run']",3,2626
455383,army-drum,Medium,marching,budget=2,"['rhythm', 'marching', 'band']",3,181,"['rhythm', 'band']",2,-1,1,[],0,-1
455383,army-drum,Medium,marching,budget=4,"['rhythm', 'marching', 'band']",3,1794,"['rhythm', 'band', 'marching']",3,175,6,[],0,-1
455383,army-drum,Medium,marching,budget=8,"['rhythm', 'marching', 'band']",3,3829,"['rhythm', 'band', 'marching']",3,399,36,[],0,-1
455383,army-drum,Medium,marching,budget=16,"['rhythm', 'marching', 'band']",3,5955,"['rhythm', 'band', 'marching']",3,936,92,['band'],1,-1
455383,army-drum,Medium,marching,budget=32,"['rhythm', 'marching', 'band']",3,7859,"['rhythm', 'band', 'marching']",3,1869,246,['band'],1,-1
455383,army-drum,Medium,marching,budget=64,"['rhythm', 'marching', 'band']",3,9500,"['rhythm', 'band', 'marching']",3,2930,624,['band'],1,-1
455383,army-drum,Medium,marching,budget=128,"['rhythm', 'marching', 'band']",3,10755,"['rhythm', 'band', 'marching']",3,3713,1269,['band'],1,-1
455383,army-drum,Medium,marching,budget=256,"['rhythm', 'marching', 'band']",3,11503,"['rhythm', 'band', 'marching']",3,4440,2271,"['rhythm', 'band']",2,-1
455383,army-drum,Medium,marching,budget=512,"['rhythm', 'marching', 'band']",3,11911,"['rhythm', 'band', 'marching']",3,5501,3723,"['rhythm', 'band']",2,-1
455383,ash-snake,Hard,reptile,budget=2,"['fried', 'reptile', 'dusty']",3,185,"['reptile', 'dusty']",2,5,0,[],0,-1
455383,ash-snake,Hard,reptile,budget=4,"['fried', 'reptile', 'dusty']",3,1681,"['reptile', 'dusty', 'fried']",3,5,7,[],0,-1
455383,ash-snake,Hard,reptile,budget=8,"['fried', 'reptile', 'dusty']",3,3803,"['reptile', 'dusty', 'fried']",3,6,25,[],0,-1
455383,ash-snake,Hard,reptile,budget=16,"['fried', 'reptile', 'dusty']",3,5862,"['reptile', 'dusty', 'fried']",3,10,85,[],0,-1
455383,ash-snake,Hard,reptile,budget=32,"['fried', 'reptile', 'dusty']",3,7814,"['reptile', 'dusty', 'fried']",3,47,252,[],0,-1
455383,ash-snake,Hard,reptile,budget=64,"['fried', 'reptile', 'dusty']",3,9505,"['reptile', 'dusty', 'fried']",3,129,586,['reptile'],1,558
455383,ash-snake,Hard,reptile,budget=128,"['fried', 'reptile', 'dusty']",3,10754,"['reptile', 'dusty', 'fried']",3,372,1272,['reptile'],1,1219
455383,ash-snake,Hard,reptile,budget=256,"['fried', 'reptile', 'dusty']",3,11506,"['reptile', 'dusty', 'fried']",3,818,2259,"['reptile', 'dusty']",2,2170
455383,ash-snake,Hard,reptile,budget=512,"['fried', 'reptile', 'dusty']",3,11909,"['reptile', 'dusty', 'fried']",3,1359,3764,"['reptile', 'dusty']",2,1730
455383,bet-dream,Medium,goal,budget=2,"['goal', 'achieve', 'accomplishment']",3,200,['goal'],1,29,0,[],0,-1
455383,bet-dream,Medium,goal,budget=4,"['goal', 'achieve', 'accomplishment']",3,1783,['goal'],1,54,3,[],0,-1
455383,bet-dream,Medium,goal,budget=8,"['goal', 'achieve', 'accomplishment']",3,3894,['goal'],1,84,13,[],0,-1
455383,bet-dream,Medium,goal,budget=16,"['goal', 'achieve', 'accomplishment']",3,5936,"['achieve', 'goal']",2,160,76,[],0,-1
455383,bet-dream,Medium,goal,budget=32,"['goal', 'achieve', 'accomplishment']",3,7856,"['achieve', 'accomplishment', 'goal']",3,383,251,[],0,-1
455383,bet-dream,Medium,goal,budget=64,"['goal', 'achieve', 'accomplishment']",3,9532,"['achieve', 'accomplishment', 'goal']",3,530,621,[],0,-1
455383,bet-dream,Medium,goal,budget=128,"['goal', 'achieve', 'accomplishment']",3,10788,"['achieve', 'accomplishment', 'goal']",3,720,1263,[],0,-1
455383,bet-dream,Medium,goal,budget=256,"['goal', 'achieve', 'accomplishment']",3,11527,"['achieve', 'accomplishment', 'goal']",3,767,2292,"['achieve', 'goal']",2,845
455383,bet-dream,Medium,goal,budget=512,"['goal', 'achieve', 'accomplishment']",3,11888,"['achieve', 'accomplishment', 'goal']",3,802,3708,"['achieve', 'goal']",2,886
455383,birth-hand,Medium,OBGYN,budget=2,"['OBGYN', 'newborn', 'delivery']",3,190,"['newborn', 'delivery']",2,-1,0,[],0,-1
455383,birth-hand,Medium,OBGYN,budget=4,"['OBGYN', 'newborn', 'delivery']",3,1814,"['newborn', 'delivery']",2,-1,5,[],0,-1
