,Unnamed: 0,clueGiverID,wordpair,Level,clueFinal,variable,Clue1,correctedClue,Word1,Word2,union_2,intersection_2,union_4,intersection_4,union_8,intersection_8,union_16,intersection_16,union_32,intersection_32,union_64,intersection_64,union_128,intersection_128,union_256,intersection_256,union_512,intersection_512
0,5,455383,ankle-travel,Hard,runner,clueOption1,run,run,ankle,travel,2.000001,1e-06,17.000001,1.000001,30.000001,1.000001,47.000001,1.000001,79.000001,2.000001,133.000001,6.000001,222.000001,17.000001,371.000001,44.000001,624.000001,134.000001
1,35,455606,ankle-travel,Hard,feet,clueOption1,feet,feet,ankle,travel,5.000001,1e-06,32.000001,1e-06,38.000001,1e-06,47.000001,1e-06,65.000001,1e-06,96.000001,1.000001,176.000001,3.000001,285.000001,17.000001,473.000001,58.000001
2,65,455664,ankle-travel,Hard,plane,clueOption1,injury,injury,ankle,travel,1e-06,1e-06,10.000001000000001,1e-06,12.000001000000001,1e-06,17.000001,1e-06,32.000001,1e-06,41.000001,2.000001,65.000001,3.000001,125.000001,5.000001,219.000001,11.000001000000001
3,95,457037,ankle-travel,Hard,basketball,clueOption1,basketball,basketball,ankle,travel,3.000001,1e-06,4.000001,1e-06,6.000001,1e-06,10.000001000000001,1e-06,19.000001,1e-06,32.000001,1e-06,58.000001,1.000001,109.000001,6.000001,211.000001,12.000001000000001
4,125,457425,ankle-travel,Hard,foot,clueOption1,foot,foot,ankle,travel,259.000001,1e-06,286.000001,1e-06,294.000001,1e-06,300.000001,1.000001,308.000001,6.000001,322.000001,9.000001000000001,356.000001,15.000001000000001,427.000001,36.000001,546.000001,82.000001
5,155,457520,ankle-travel,Hard,move,clueOption1,walk,walk,ankle,travel,6.000001,1e-06,36.000001,1.000001,48.000001,1.000001,54.000001,1.000001,65.000001,1.000001,106.000001,5.000001,170.000001,5.000001,268.000001,13.000001000000001,455.000001,66.000001
6,185,457564,ankle-travel,Hard,walking,clueOption1,walking,walking,ankle,travel,7.000001,1e-06,14.000001000000001,1e-06,16.000001,1e-06,19.000001,1e-06,30.000001,1.000001,42.000001,1.000001,63.000001,1.000001,112.000001,3.000001,192.000001,11.000001000000001
7,215,458120,ankle-travel,Hard,hike,clueOption1,boot,boot,ankle,travel,1e-06,1e-06,3.000001,1e-06,5.000001,1e-06,5.000001,1e-06,8.000001000000001,1e-06,11.000001000000001,1e-06,18.000001,1e-06,25.000001,1e-06,48.000001,1.000001
8,245,458387,ankle-travel,Hard,walking,clueOption1,walking,walking,ankle,travel,7.000001,1e-06,14.000001000000001,1e-06,16.000001,1e-06,19.000001,1e-06,30.000001,1.000001,42.000001,1.000001,63.000001,1.000001,112.000001,3.000001,192.000001,11.000001000000001
9,275,463818,ankle-travel,Hard,vacation,clueOption1,sprain,sprain,ankle,travel,68.000001,1e-06,69.000001,1e-06,69.000001,1e-06,69.000001,1e-06,69.000001,1e-06,69.000001,1e-06,71.000001,1e-06,72.000001,1e-06,73.000001,1.000001
10,305,463852,ankle-travel,Hard,boots,clueOption1,walking,walking,ankle,travel,7.000001,1e-06,14.000001000000001,1e-06,16.000001,1e-06,19.000001,1e-06,30.000001,1.000001,42.000001,1.000001,63.000001,1.000001,112.000001,3.000001,192.000001,11.000001000000001
