clueGiverID,wordpair,Level,clueFinal,budget,behavioral_clue_list,len_cluelist_behavioral,len_cluelist_union,union_common,len_union_common,finalclue_index_union,len_cluelist_intersection,intersection_common,len_intersection_common,finalclue_index_intersection
454955,bowl-sun,Medium,acai,budget=2,"['brunch', 'yard game', 'bright', 'acai']",4,184,['bright'],1,-1,1,[],0,-1
454955,bowl-sun,Medium,acai,budget=4,"['brunch', 'yard game', 'bright', 'acai']",4,1687,['bright'],1,-1,7,[],0,-1
454955,bowl-sun,Medium,acai,budget=8,"['brunch', 'yard game', 'bright', 'acai']",4,3629,['bright'],1,-1,33,['bright'],1,-1
454955,bowl-sun,Medium,acai,budget=16,"['brunch', 'yard game', 'bright', 'acai']",4,5752,"['brunch', 'bright']",2,-1,100,['bright'],1,-1
454955,bowl-sun,Medium,acai,budget=32,"['brunch', 'yard game', 'bright', 'acai']",4,7797,"['brunch', 'bright']",2,-1,265,['bright'],1,-1
454955,bowl-sun,Medium,acai,budget=64,"['brunch', 'yard game', 'bright', 'acai']",4,9477,"['brunch', 'bright']",2,-1,634,['bright'],1,-1
454955,bowl-sun,Medium,acai,budget=128,"['brunch', 'yard game', 'bright', 'acai']",4,10813,"['brunch', 'bright']",2,-1,1238,['bright'],1,-1
454955,bowl-sun,Medium,acai,budget=256,"['brunch', 'yard game', 'bright', 'acai']",4,11521,"['brunch', 'bright']",2,-1,2252,['bright'],1,-1
454955,bowl-sun,Medium,acai,budget=512,"['brunch', 'yard game', 'bright', 'acai']",4,11902,"['brunch', 'bright']",2,-1,3666,['bright'],1,-1
454955,cave-knight,Hard,mysterious,budget=2,"['dark', 'dragon', 'unknown']",3,162,"['dragon', 'dark']",2,-1,1,['dark'],1,-1
454955,cave-knight,Hard,mysterious,budget=4,"['dark', 'dragon', 'unknown']",3,1798,"['dragon', 'dark']",2,664,9,['dark'],1,-1
454955,cave-knight,Hard,mysterious,budget=8,"['dark', 'dragon', 'unknown']",3,3840,"['dragon', 'unknown', 'dark']",3,1770,39,['dark'],1,-1
454955,cave-knight,Hard,mysterious,budget=16,"['dark', 'dragon', 'unknown']",3,5887,"['dragon', 'unknown', 'dark']",3,1798,95,['dark'],1,-1
454955,cave-knight,Hard,mysterious,budget=32,"['dark', 'dragon', 'unknown']",3,7841,"['dragon', 'unknown', 'dark']",3,1617,243,['dark'],1,-1
454955,cave-knight,Hard,mysterious,budget=64,"['dark', 'dragon', 'unknown']",3,9547,"['dragon', 'unknown', 'dark']",3,2066,601,['dark'],1,-1
454955,cave-knight,Hard,mysterious,budget=128,"['dark', 'dragon', 'unknown']",3,10772,"['dragon', 'unknown', 'dark']",3,2228,1234,['dark'],1,-1
454955,cave-knight,Hard,mysterious,budget=256,"['dark', 'dragon', 'unknown']",3,11514,"['dragon', 'unknown', 'dark']",3,2597,2244,"['unknown', 'dark']",2,1928
454955,cave-knight,Hard,mysterious,budget=512,"['dark', 'dragon', 'unknown']",3,11900,"['dragon', 'unknown', 'dark']",3,2229,3731,"['dragon', 'unknown', 'dark']",3,3271
