,Unnamed: 0,clueGiverID,wordpair,Level,clueFinal,variable,Clue1,correctedClue,Word1,Word2,union_index,intersection_index
0,0,454955,bowl-sun,Medium,acai,clueOption1,brunch,face,bowl,sun,283.751,735.435
1,1,454955,cave-knight,Hard,mysterious,clueOption1,dark,fire,cave,knight,287.626,745.196
2,2,454955,glow-quick,Medium,firefly,clueOption1,candle,sublime,glow,quick,6995.53,9736.753
3,3,454955,gold-silver,Easy,jewelry,clueOption1,jewelry,metal,gold,silver,445.209,1294.746
4,4,454955,oak-tree,Easy,forest,clueOption1,bark,chair,oak,tree,612.235,1522.417
5,5,455383,ankle-travel,Hard,runner,clueOption1,run,Greek,ankle,travel,2769.828,6855.553
6,6,455383,army-drum,Medium,marching,clueOption1,rhythm,suitcase,army,drum,4156.387,8340.422
7,7,455383,ash-snake,Hard,reptile,clueOption1,fried,food,ash,snake,110.701,312.983
8,8,455383,bet-dream,Medium,goal,clueOption1,goal,car,bet,dream,202.087,537.82
9,9,455383,birth-hand,Medium,OBGYN,clueOption1,OBGYN,condition,birth,hand,4686.439,8926.381
10,10,455383,bone-garage,Hard,car,clueOption1,dog,observe,bone,garage,2338.375,6162.384
11,11,455383,boot-crust,Hard,dirty,clueOption1,dirty,opposites,boot,crust,10000.0,10000.0
12,12,455383,bowl-sun,Medium,round,clueOption1,warm,round,bowl,sun,318.965,839.854
13,13,455383,cage-glass,Medium,oppression,clueOption1,oppression,tank,cage,glass,2366.689,6366.509
14,14,455383,candle-wick,Easy,ignite,clueOption1,ignite,lottery,candle,wick,5199.216,8928.721
15,15,455383,cave-knight,Hard,medieval,clueOption1,medieval,clean,cave,knight,296.455,756.774
16,16,455383,chair-table,Easy,furniture,clueOption1,furniture,animal,chair,table,298.013,786.555
17,17,455383,chapel-feet,Medium,catholic,clueOption1,church,legs,chapel,feet,855.136,2258.578
18,18,455383,east-short,Hard,compass,clueOption1,small,floss,east,short,4828.066,8958.805
19,19,455383,elm-rock,Medium,nature,clueOption1,earth,tree,elm,rock,129.975,507.996
20,20,455383,giant-subtle,Hard,huge,clueOption1,big,dive,giant,subtle,5393.828,9086.803
21,21,455383,glow-quick,Medium,light,clueOption1,light,brunch,glow,quick,7353.267,9818.423
22,22,455383,gold-silver,Easy,valuable,clueOption1,riches,wood,gold,silver,373.86,952.429
23,23,455383,gums-teeth,Easy,oral,clueOption1,dental,sailboat,gums,teeth,8230.094,9820.843
24,24,455383,happy-sad,Easy,emotions,clueOption1,emotions,valuable,happy,sad,3326.58,7582.36
25,25,455383,holy-kind,Medium,Jesus,clueOption1,Jesus,flour,holy,kind,2572.567,6820.925
26,26,455383,jump-leap,Easy,hopscotch,clueOption1,burpees,summer,jump,leap,463.243,1170.588
27,27,455383,lion-tiger,Easy,carnivores,clueOption1,cat,emotion,lion,tiger,646.619,1502.475
28,28,455383,new-old,Easy,phone,clueOption1,phone,kitchen,new,old,1149.956,3163.906
29,29,455383,oak-tree,Easy,plant,clueOption1,plant,plant,oak,tree,544.42,1440.756
30,30,455383,olive-real,Hard,oil,clueOption1,actual,nature,olive,real,681.683,1697.932
31,31,455383,regret-rude,Hard,disrespectful,clueOption1,disrespect,old,regret,rude,282.016,710.749
32,32,455383,sit-stand,Easy,waiting,clueOption1,positions,place,sit,stand,416.428,1065.821
33,33,455383,stern-wind,Hard,strong,clueOption1,harsh,mouth,stern,wind,442.576,1126.974
34,34,455383,trauma-weird,Medium,painful,clueOption1,painful,dental,trauma,weird,6099.291,9385.484
35,35,455606,ankle-travel,Hard,feet,clueOption1,feet,past,ankle,travel,806.709,2106.083
36,36,455606,army-drum,Medium,war,clueOption1,band,fight,army,drum,550.501,1386.964
37,37,455606,ash-snake,Hard,gray,clueOption1,black,car,ash,snake,201.378,533.286
38,38,455606,bet-dream,Medium,wishes,clueOption1,wishes,church,bet,dream,587.194,1455.954
39,39,455606,birth-hand,Medium,human,clueOption1,human,reference,birth,hand,7014.572,9591.679
40,40,455606,bone-garage,Hard,dog,clueOption1,dog,strobe,bone,garage,10000.0,10000.0
41,41,455606,boot-crust,Hard,dirt,clueOption1,dirt,medusa,boot,crust,10000.0,10000.0
42,42,455606,bowl-sun,Medium,spherical,clueOption1,hot,drive,bowl,sun,671.337,1660.445
43,43,455606,cage-glass,Medium,enclosure,clueOption1,enclosure,grey,cage,glass,601.262,1539.695
44,44,455606,candle-wick,Easy,burn,clueOption1,burn,adjective,candle,wick,4919.111,8929.679
45,45,455606,cave-knight,Hard,dark,clueOption1,dark,risk,cave,knight,3152.552,7395.914
46,46,455606,chair-table,Easy,furniture,clueOption1,dining,grievances,chair,table,10000.0,10000.0
47,47,455606,chapel-feet,Medium,walk,clueOption1,walk,room,chapel,feet,479.767,1161.213
48,48,455606,east-short,Hard,directions,clueOption1,directions,sleep,east,short,272.754,701.774
49,49,455606,elm-rock,Medium,hard,clueOption1,street,carnivore,elm,rock,7781.931,9857.528
50,50,455606,giant-subtle,Hard,gentle,clueOption1,gentle,leg,giant,subtle,972.119,2745.072
51,51,455606,glow-quick,Medium,makeup,clueOption1,makeup,sprain,glow,quick,9073.252,9956.08
52,52,455606,gold-silver,Easy,elements,clueOption1,metal,intimidate,gold,silver,9167.388,9984.17
53,53,455606,gums-teeth,Easy,mouth,clueOption1,mouth,bright,gums,teeth,267.099,705.622
54,54,455606,happy-sad,Easy,emotions,clueOption1,emotions,circle,happy,sad,572.889,1350.54
55,55,455606,holy-kind,Medium,saint,clueOption1,saint,bear,holy,kind,722.82,1890.685
